"","name","year","duration","rating","crew","gross","rank","genre","votes"
"28","Terminator 2: Judgment Day","(1991)","137 min","8.6","
    Director:
James Cameron
                 | 
    Stars:
Arnold Schwarzenegger, 
Linda Hamilton, 
Edward Furlong, 
Robert Patrick
    ","$204.84M","#30","
Action, Sci-Fi            ","1,148,131"
"29","La vita è bella","(1997)","116 min","8.6","
    Director:
Roberto Benigni
                 | 
    Stars:
Roberto Benigni, 
Nicoletta Braschi, 
Giorgio Cantarini, 
Giustino Durano
    ","$57.60M","#27","
Comedy, Drama, Romance            ","726,740"
"30","It's a Wonderful Life","(1946)","130 min","8.6","
    Director:
Frank Capra
                 | 
    Stars:
James Stewart, 
Donna Reed, 
Lionel Barrymore, 
Thomas Mitchell
    ","#20","#20","
Drama, Family, Fantasy            ","481,670"
"31","Shichinin no samurai","(1954)","207 min","8.6","
    Director:
Akira Kurosawa
                 | 
    Stars:
Toshirô Mifune, 
Takashi Shimura, 
Keiko Tsushima, 
Yukiko Shimazaki
    ","$0.27M","#21","
Action, Drama            ","359,838"
"32","Seppuku","(1962)","133 min","8.6","
    Director:
Masaki Kobayashi
                 | 
    Stars:
Tatsuya Nakadai, 
Akira Ishihama, 
Shima Iwashita, 
Tetsurô Tanba
    ","#45","#45","
Action, Drama, Mystery            ","64,797"
"33","Oppenheimer","(I) (2023)","180 min","8.5","
    Director:
Christopher Nolan
                 | 
    Stars:
Cillian Murphy, 
Emily Blunt, 
Matt Damon, 
Robert Downey Jr.
    ","#47","#47","
Biography, Drama, History            ","475,207"
"34","Whiplash","(2014)","106 min","8.5","
    Director:
Damien Chazelle
                 | 
    Stars:
Miles Teller, 
J.K. Simmons, 
Melissa Benoist, 
Paul Reiser
    ","$13.09M","#41","
Drama, Music            ","942,305"
"35","Alien","(1979)","117 min","8.5","
    Director:
Ridley Scott
                 | 
    Stars:
Sigourney Weaver, 
Tom Skerritt, 
John Hurt, 
Veronica Cartwright
    ","$78.90M","#53","
Horror, Sci-Fi            ","926,015"
"36","Gladiator","(2000)","155 min","8.5","
    Director:
Ridley Scott
                 | 
    Stars:
Russell Crowe, 
Joaquin Phoenix, 
Connie Nielsen, 
Oliver Reed
    ","$187.71M","#36","
Action, Adventure, Drama            ","1,573,593"
"37","Psycho","(1960)","109 min","8.5","
    Director:
Alfred Hitchcock
                 | 
    Stars:
Anthony Perkins, 
Janet Leigh, 
Vera Miles, 
John Gavin
    ","$32.00M","#34","
Horror, Mystery, Thriller            ","703,794"
"38","Back to the Future","(1985)","116 min","8.5","
    Director:
Robert Zemeckis
                 | 
    Stars:
Michael J. Fox, 
Christopher Lloyd, 
Lea Thompson, 
Crispin Glover
    ","$210.61M","#31","
Adventure, Comedy, Sci-Fi            ","1,272,103"
"39","The Departed","(2006)","151 min","8.5","
    Director:
Martin Scorsese
                 | 
    Stars:
Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg
    ","$132.38M","#40","
Crime, Drama, Thriller            ","1,388,794"
"40","Gisaengchung","(2019)","132 min","8.5","
    Director:
Bong Joon Ho
                 | 
    Stars:
Song Kang-ho, 
Lee Sun-kyun, 
Cho Yeo-jeong, 
Choi Woo-sik
    ","$53.37M","#35","
Drama, Thriller            ","900,160"
"41","The Prestige","(2006)","130 min","8.5","
    Director:
Christopher Nolan
                 | 
    Stars:
Christian Bale, 
Hugh Jackman, 
Scarlett Johansson, 
Michael Caine
    ","$53.09M","#42","
Drama, Mystery, Sci-Fi            ","1,405,323"
"42","Léon","(1994)","110 min","8.5","
    Director:
Luc Besson
                 | 
    Stars:
Jean Reno, 
Gary Oldman, 
Natalie Portman, 
Danny Aiello
    ","$19.50M","#38","
Action, Crime, Drama            ","1,216,192"
"43","Django Unchained","(2012)","165 min","8.5","
    Director:
Quentin Tarantino
                 | 
    Stars:
Jamie Foxx, 
Christoph Waltz, 
Leonardo DiCaprio, 
Kerry Washington
    ","$162.81M","#56","
Drama, Western            ","1,646,624"
"44","American History X","(1998)","119 min","8.5","
    Director:
Tony Kaye
                 | 
    Stars:
Edward Norton, 
Edward Furlong, 
Beverly D'Angelo, 
Jennifer Lien
    ","$6.72M","#39","
Crime, Drama            ","1,164,312"
"45","The Lion King","(1994)","88 min","8.5","
    Directors:
Roger Allers, 
Rob Minkoff
                 | 
    Stars:
Matthew Broderick, 
Jeremy Irons, 
James Earl Jones, 
Whoopi Goldberg
    ","$422.78M","#37","
Animation, Adventure, Drama            ","1,113,068"
"46","The Usual Suspects","(1995)","106 min","8.5","
    Director:
Bryan Singer
                 | 
    Stars:
Kevin Spacey, 
Gabriel Byrne, 
Chazz Palminteri, 
Stephen Baldwin
    ","$23.34M","#43","
Crime, Drama, Mystery            ","1,124,313"
"47","The Pianist","(2002)","150 min","8.5","
    Director:
Roman Polanski
                 | 
    Stars:
Adrien Brody, 
Thomas Kretschmann, 
Frank Finlay, 
Emilia Fox
    ","$32.57M","#33","
Biography, Drama, Music            ","884,924"
"48","The Intouchables","(2011)","112 min","8.5","
    Directors:
Olivier Nakache, 
Éric Toledano
                 | 
    Stars:
François Cluzet, 
Omar Sy, 
Anne Le Ny, 
Audrey Fleurot
    ","$13.18M","#48","
Biography, Comedy, Drama            ","904,384"
"49","Casablanca","(1942)","102 min","8.5","
    Director:
Michael Curtiz
                 | 
    Stars:
Humphrey Bogart, 
Ingrid Bergman, 
Paul Henreid, 
Claude Rains
    ","$1.02M","#46","
Drama, Romance, War            ","594,674"
"50","Rear Window","(1954)","112 min","8.5","
    Director:
Alfred Hitchcock
                 | 
    Stars:
James Stewart, 
Grace Kelly, 
Wendell Corey, 
Thelma Ritter
    ","$36.76M","#52","
Mystery, Thriller            ","511,755"
